horizon,model,n,crps_det
1,benchmark_lag123,5184,0.2180108251607967
1,benchmark_roll3,5184,0.24972531576352136
1,democracy_gbm,5184,0.34752854332525474
1,democracy_rf,5184,0.40025813706820973
2,benchmark_lag123,5184,0.2336778458946719
2,benchmark_roll3,5184,0.2682225203894245
2,democracy_gbm,5184,0.3875019308784869
2,democracy_rf,5184,0.4381560497884388
3,benchmark_lag123,5184,0.24048135509306517
3,benchmark_roll3,5184,0.2732196061849515
3,democracy_gbm,5184,0.41750240334424266
3,democracy_rf,5184,0.47094062184764224
4,benchmark_lag123,5184,0.25505073835575875
4,benchmark_roll3,5184,0.28365585738781945
4,democracy_gbm,5184,0.4302067343108088
4,democracy_rf,5184,0.47566252918883445
5,benchmark_lag123,5184,0.25974330408884755
5,benchmark_roll3,5184,0.2895187743351072
5,democracy_gbm,5184,0.4532381903356887
5,democracy_rf,5184,0.503357851332354
6,benchmark_lag123,5184,0.2618137987302746
6,benchmark_roll3,5184,0.29102817196806996
6,democracy_gbm,5184,0.44672382175398645
6,democracy_rf,5184,0.5064597915837818
7,benchmark_lag123,5184,0.2679078146324802
7,benchmark_roll3,5184,0.2950009438411951
7,democracy_gbm,5184,0.4525754841855177
7,democracy_rf,5184,0.5103959348588825
