horizon,model,n,mse,rmse
1,benchmark_lag123,5184,0.3045592610529942,0.5518688803085332
1,benchmark_roll3,5184,0.39589370469310897,0.6292008460683353
1,democracy_gbm,5184,0.666125915306201,0.8161653725233637
1,democracy_rf,5184,0.6912595706984673,0.8314202130682579
2,benchmark_lag123,5184,0.342913947066751,0.5855885475884506
2,benchmark_roll3,5184,0.45601992092114346,0.675292470653378
2,democracy_gbm,5184,0.7844377781743229,0.8856849203719813
2,democracy_rf,5184,0.808213032584935,0.8990066921802835
3,benchmark_lag123,5184,0.36222874832164054,0.6018544245260979
3,benchmark_roll3,5184,0.47031688593221105,0.6857965339167377
3,democracy_gbm,5184,0.9083231753306575,0.9530599012290139
3,democracy_rf,5184,0.9339828783757417,0.9664278961080033
4,benchmark_lag123,5184,0.39491831041755227,0.6284252623960563
4,benchmark_roll3,5184,0.5043514147125839,0.7101770305442044
4,democracy_gbm,5184,0.9789276127248316,0.9894077080379108
4,democracy_rf,5184,0.9939372198479197,0.9969640012798455
5,benchmark_lag123,5184,0.40242374803525527,0.634368779209109
5,benchmark_roll3,5184,0.5250817438213875,0.7246252437097314
5,democracy_gbm,5184,1.0247681371490178,1.0123083211892598
5,democracy_rf,5184,1.0854018597916655,1.0418262138147925
6,benchmark_lag123,5184,0.4143920807180286,0.6437329265448744
6,benchmark_roll3,5184,0.5321293417407763,0.729471960901018
6,democracy_gbm,5184,1.030296303981332,1.0150351245062075
6,democracy_rf,5184,1.0948723330318324,1.046361473407652
7,benchmark_lag123,5184,0.4289832348554322,0.654968117434301
7,benchmark_roll3,5184,0.535695961264248,0.7319125366218617
7,democracy_gbm,5184,1.0456263997956365,1.0225587512684229
7,democracy_rf,5184,1.1148569385817853,1.0558678603792169
