horizon,model,feature,importance
1,democracy_gbm,wgi_VA_EST,1614.2971998391367
1,democracy_gbm,polity_polity2,1439.031298851651
1,democracy_gbm,wgi_RL_EST,1083.1843388045777
1,democracy_gbm,vdem_v2x_egaldem,861.5640117397224
1,democracy_gbm,wgi_GE_EST,468.82226887973235
1,democracy_gbm,vdem_v2x_libdem,327.3554847920634
1,democracy_gbm,vdem_v2x_delibdem,268.2878071847359
1,democracy_gbm,fh_cl,152.62300799788292
1,democracy_gbm,vdem_v2x_polyarchy,22.371648317182792
1,democracy_gbm,vdem_v2x_partipdem,15.831971739199531
2,democracy_gbm,wgi_VA_EST,2251.627315816679
2,democracy_gbm,polity_polity2,1883.2446978333016
2,democracy_gbm,wgi_GE_EST,1076.0717105294093
2,democracy_gbm,wgi_RL_EST,1007.7517509523692
2,democracy_gbm,vdem_v2x_egaldem,812.065597992497
2,democracy_gbm,vdem_v2x_libdem,509.8652332109581
2,democracy_gbm,vdem_v2x_delibdem,498.8513424066673
2,democracy_gbm,fh_cl,323.2008176280037
2,democracy_gbm,vdem_v2x_polyarchy,100.66532005688626
2,democracy_gbm,vdem_v2x_partipdem,58.42664452898708
3,democracy_gbm,wgi_VA_EST,3498.754249877132
3,democracy_gbm,polity_polity2,2366.83033333676
3,democracy_gbm,wgi_RL_EST,2028.8282592992664
3,democracy_gbm,vdem_v2x_egaldem,1593.307351253387
3,democracy_gbm,vdem_v2x_libdem,1094.3339899124899
3,democracy_gbm,wgi_GE_EST,1091.5794866770264
3,democracy_gbm,vdem_v2x_delibdem,803.1738484214343
3,democracy_gbm,fh_cl,375.75802525114864
3,democracy_gbm,vdem_v2x_polyarchy,229.9987248025633
3,democracy_gbm,vdem_v2x_partipdem,14.150496793173435
4,democracy_gbm,wgi_VA_EST,3213.6982661332722
4,democracy_gbm,polity_polity2,2740.479092987625
4,democracy_gbm,vdem_v2x_egaldem,1914.9187930695196
4,democracy_gbm,wgi_RL_EST,1764.588264538717
4,democracy_gbm,wgi_GE_EST,1136.5874957703834
4,democracy_gbm,vdem_v2x_libdem,794.19266236561
4,democracy_gbm,vdem_v2x_delibdem,446.2748784440184
4,democracy_gbm,fh_cl,299.8541473455113
4,democracy_gbm,vdem_v2x_polyarchy,25.70890193576759
4,democracy_gbm,vdem_v2x_partipdem,0
5,democracy_gbm,wgi_VA_EST,4438.524733751936
5,democracy_gbm,polity_polity2,3916.0936398112253
5,democracy_gbm,wgi_RL_EST,2228.7012848337095
5,democracy_gbm,vdem_v2x_egaldem,2204.1977183223216
5,democracy_gbm,wgi_GE_EST,1682.337865794808
5,democracy_gbm,vdem_v2x_libdem,915.8743932347924
5,democracy_gbm,vdem_v2x_delibdem,398.2255787970319
5,democracy_gbm,fh_cl,125.66241386361315
5,democracy_gbm,vdem_v2x_polyarchy,107.16825871756267
5,democracy_gbm,vdem_v2x_partipdem,89.63682719255641
6,democracy_gbm,wgi_VA_EST,3877.3865610462885
6,democracy_gbm,polity_polity2,2783.981635362564
6,democracy_gbm,wgi_RL_EST,2111.824650390958
6,democracy_gbm,vdem_v2x_egaldem,2060.78286827433
6,democracy_gbm,wgi_GE_EST,1756.3666839082837
6,democracy_gbm,vdem_v2x_libdem,697.3084324019151
6,democracy_gbm,vdem_v2x_delibdem,85.04587551829533
6,democracy_gbm,fh_cl,66.58098048400623
6,democracy_gbm,vdem_v2x_polyarchy,20.95296139667186
6,democracy_gbm,vdem_v2x_partipdem,0
7,democracy_gbm,wgi_VA_EST,4147.815589503894
7,democracy_gbm,polity_polity2,2432.4903868215283
7,democracy_gbm,vdem_v2x_egaldem,2383.000105991475
7,democracy_gbm,wgi_RL_EST,2206.2289187116244
7,democracy_gbm,wgi_GE_EST,1419.1956109558705
7,democracy_gbm,vdem_v2x_libdem,953.3334943440348
7,democracy_gbm,vdem_v2x_partipdem,102.42036756524502
7,democracy_gbm,fh_cl,96.36986833599951
7,democracy_gbm,vdem_v2x_delibdem,66.88836311752101
7,democracy_gbm,vdem_v2x_polyarchy,36.15368202243819
