horizon,model,feature,importance
1,democracy_rf,wgi_VA_EST,1.2973506234555163
1,democracy_rf,vdem_v2x_polyarchy,0.9790180151829695
1,democracy_rf,vdem_v2x_libdem,0.9353959896681369
1,democracy_rf,vdem_v2x_egaldem,0.8487804359676652
1,democracy_rf,polity_polity2,0.7949020295381207
1,democracy_rf,vdem_v2x_delibdem,0.7847065781610848
1,democracy_rf,wgi_RL_EST,0.7436128451030106
1,democracy_rf,vdem_v2x_partipdem,0.7154708179002873
1,democracy_rf,wgi_GE_EST,0.6495668089279208
1,democracy_rf,fh_cl,0.29316388228848533
2,democracy_rf,wgi_VA_EST,1.3674806187687463
2,democracy_rf,vdem_v2x_libdem,1.2727891220881724
2,democracy_rf,vdem_v2x_polyarchy,1.242943437574215
2,democracy_rf,polity_polity2,1.0681830875473033
2,democracy_rf,vdem_v2x_egaldem,1.024674718138236
2,democracy_rf,vdem_v2x_partipdem,0.9446208230740609
2,democracy_rf,wgi_RL_EST,0.9156975427625874
2,democracy_rf,vdem_v2x_delibdem,0.8960519129231849
2,democracy_rf,wgi_GE_EST,0.8875169378041395
2,democracy_rf,fh_cl,0.4357597073969723
3,democracy_rf,wgi_VA_EST,1.5208271244049838
3,democracy_rf,vdem_v2x_libdem,1.3390475678222824
3,democracy_rf,vdem_v2x_polyarchy,1.3247664362889975
3,democracy_rf,polity_polity2,1.0530142691743376
3,democracy_rf,vdem_v2x_delibdem,1.0488302893156025
3,democracy_rf,vdem_v2x_partipdem,1.0238618566557203
3,democracy_rf,vdem_v2x_egaldem,1.0089630525985702
3,democracy_rf,wgi_RL_EST,0.9371362694137366
3,democracy_rf,wgi_GE_EST,0.7667201949385128
3,democracy_rf,fh_cl,0.5900702302017438
4,democracy_rf,wgi_VA_EST,1.4985930386936366
4,democracy_rf,vdem_v2x_libdem,1.432751987592305
4,democracy_rf,vdem_v2x_polyarchy,1.265818313592934
4,democracy_rf,vdem_v2x_partipdem,1.1595352811838218
4,democracy_rf,wgi_RL_EST,1.117358979228471
4,democracy_rf,vdem_v2x_egaldem,1.103027828649701
4,democracy_rf,polity_polity2,1.1008749450790218
4,democracy_rf,vdem_v2x_delibdem,1.0825586843859945
4,democracy_rf,wgi_GE_EST,0.919987244738307
4,democracy_rf,fh_cl,0.6621591362256027
5,democracy_rf,wgi_VA_EST,1.741429454115012
5,democracy_rf,vdem_v2x_libdem,1.5614321182445572
5,democracy_rf,vdem_v2x_polyarchy,1.488889054963279
5,democracy_rf,polity_polity2,1.2747261403379835
5,democracy_rf,vdem_v2x_egaldem,1.2387651264733066
5,democracy_rf,wgi_RL_EST,1.2090182349559908
5,democracy_rf,vdem_v2x_partipdem,1.1727496205055004
5,democracy_rf,vdem_v2x_delibdem,1.1642829230187604
5,democracy_rf,wgi_GE_EST,0.9919280597044737
5,democracy_rf,fh_cl,0.6893337291512546
6,democracy_rf,wgi_VA_EST,1.7429135192103304
6,democracy_rf,vdem_v2x_libdem,1.407565109864492
6,democracy_rf,vdem_v2x_polyarchy,1.3871659073490155
6,democracy_rf,vdem_v2x_egaldem,1.196336840125984
6,democracy_rf,polity_polity2,1.189955491213067
6,democracy_rf,vdem_v2x_delibdem,1.1703692659233076
6,democracy_rf,wgi_RL_EST,1.1253669348892357
6,democracy_rf,vdem_v2x_partipdem,1.0780471706190122
6,democracy_rf,wgi_GE_EST,1.064198178855378
6,democracy_rf,fh_cl,0.6143787306192219
7,democracy_rf,wgi_VA_EST,1.6235277610449474
7,democracy_rf,vdem_v2x_libdem,1.5167896433712609
7,democracy_rf,vdem_v2x_polyarchy,1.3969032582917584
7,democracy_rf,vdem_v2x_delibdem,1.2931068447507237
7,democracy_rf,polity_polity2,1.2221582480076387
7,democracy_rf,wgi_RL_EST,1.197180444512826
7,democracy_rf,vdem_v2x_partipdem,1.1896790304517018
7,democracy_rf,vdem_v2x_egaldem,1.1403014716658821
7,democracy_rf,wgi_GE_EST,1.1033366244367808
7,democracy_rf,fh_cl,0.4936661097237453
