horizon,model,feature,importance
1,grievance_rf,vdem_v2x_egaldem,0.33382568504247856
1,grievance_rf,vdem_v2x_frassoc_thick,0.2697647832311304
1,grievance_rf,vdem_v2x_egal,0.25986118097456784
1,grievance_rf,vdem_v2x_freexp_altinf,0.2591092164956215
1,grievance_rf,vdem_v2elvotbuy,0.24197595335567157
1,grievance_rf,vdem_v2elintim,0.20015663431578476
1,grievance_rf,vdem_v2x_cspart,0.1897861613038593
1,grievance_rf,vdem_v2elfrfair,0.17884021522124166
1,grievance_rf,vdem_v2elirreg,0.177895657426314
1,grievance_rf,vdem_v2xeg_eqprotec,0.17211920652200877
1,grievance_rf,vdem_v2xeg_eqaccess,0.14621040518192455
1,grievance_rf,vdem_v2xeg_eqdr,0.1439197964453524
1,grievance_rf,fh_cl,0.09096784614014512
1,grievance_rf,vdem_v2x_suffr,0.07289810266628435
2,grievance_rf,vdem_v2x_frassoc_thick,0.4212164571323135
2,grievance_rf,vdem_v2x_freexp_altinf,0.3963439905083099
2,grievance_rf,vdem_v2x_egaldem,0.3879651964848792
2,grievance_rf,vdem_v2x_cspart,0.3854474791364
2,grievance_rf,vdem_v2elvotbuy,0.36484337515219295
2,grievance_rf,vdem_v2x_egal,0.3256092488266416
2,grievance_rf,vdem_v2elfrfair,0.3067977213926124
2,grievance_rf,vdem_v2xeg_eqprotec,0.266304801048737
2,grievance_rf,vdem_v2xeg_eqdr,0.24081935784487526
2,grievance_rf,vdem_v2elintim,0.2357734296936095
2,grievance_rf,vdem_v2xeg_eqaccess,0.22506617913053964
2,grievance_rf,vdem_v2elirreg,0.22214647014748176
2,grievance_rf,fh_cl,0.1510004655978571
2,grievance_rf,vdem_v2x_suffr,0.10372178976570647
3,grievance_rf,vdem_v2x_frassoc_thick,0.49780049254937997
3,grievance_rf,vdem_v2x_egaldem,0.48789585928141627
3,grievance_rf,vdem_v2elvotbuy,0.4727752273379435
3,grievance_rf,vdem_v2x_freexp_altinf,0.4282192182944299
3,grievance_rf,vdem_v2x_egal,0.4052707351740449
