horizon,model,n,crps_det
1,benchmark_lag123,5184,0.2180108251607967
1,benchmark_roll3,5184,0.24972531576352136
1,natural_resources_gbm,5184,0.36027901332066625
1,natural_resources_rf,5184,0.38887730043296365
2,benchmark_lag123,5184,0.2336778458946719
2,benchmark_roll3,5184,0.2682225203894245
2,natural_resources_gbm,5184,0.40248605441622276
2,natural_resources_rf,5184,0.42265871536243277
3,benchmark_lag123,5184,0.24048135509306517
3,benchmark_roll3,5184,0.2732196061849515
3,natural_resources_gbm,5184,0.43687490868518813
3,natural_resources_rf,5184,0.4526647383580106
4,benchmark_lag123,5184,0.25505073835575875
4,benchmark_roll3,5184,0.28365585738781945
4,natural_resources_gbm,5184,0.45682939374658865
4,natural_resources_rf,5184,0.4728467602991037
5,benchmark_lag123,5184,0.25974330408884755
5,benchmark_roll3,5184,0.2895187743351072
5,natural_resources_gbm,5184,0.4676318495403894
5,natural_resources_rf,5184,0.48426339226587467
6,benchmark_lag123,5184,0.2618137987302746
6,benchmark_roll3,5184,0.29102817196806996
6,natural_resources_gbm,5184,0.4681566412168062
6,natural_resources_rf,5184,0.4851456433823058
7,benchmark_lag123,5184,0.2679078146324802
7,benchmark_roll3,5184,0.2950009438411951
7,natural_resources_gbm,5184,0.4753708470062667
7,natural_resources_rf,5184,0.49486489128263556
