horizon,model,n,mse,rmse
1,benchmark_lag123,5184,0.3045592610529942,0.5518688803085332
1,benchmark_roll3,5184,0.39589370469310897,0.6292008460683353
1,natural_resources_rf,5184,0.6567513746535504,0.8104019833721722
1,natural_resources_gbm,5184,0.6690123449160315,0.817931748323802
2,benchmark_lag123,5184,0.342913947066751,0.5855885475884506
2,benchmark_roll3,5184,0.45601992092114346,0.675292470653378
2,natural_resources_rf,5184,0.773728750449155,0.8796185255263528
2,natural_resources_gbm,5184,0.7935567456199004,0.8908180204844873
3,benchmark_lag123,5184,0.36222874832164054,0.6018544245260979
3,benchmark_roll3,5184,0.47031688593221105,0.6857965339167377
3,natural_resources_rf,5184,0.8831525316315897,0.9397619547691797
3,natural_resources_gbm,5184,0.9201412195757424,0.9592399176304864
4,benchmark_lag123,5184,0.39491831041755227,0.6284252623960563
4,benchmark_roll3,5184,0.5043514147125839,0.7101770305442044
4,natural_resources_rf,5184,0.9829297296835849,0.9914281263327085
4,natural_resources_gbm,5184,0.991748927421166,0.9958659183952255
5,benchmark_lag123,5184,0.40242374803525527,0.634368779209109
5,benchmark_roll3,5184,0.5250817438213875,0.7246252437097314
5,natural_resources_gbm,5184,1.0399983963980681,1.019803116487721
5,natural_resources_rf,5184,1.0519108247393445,1.0256270397855862
6,benchmark_lag123,5184,0.4143920807180286,0.6437329265448744
6,benchmark_roll3,5184,0.5321293417407763,0.729471960901018
6,natural_resources_gbm,5184,1.0496800639344368,1.0245389518873536
6,natural_resources_rf,5184,1.0600419192105308,1.0295833716657097
7,benchmark_lag123,5184,0.4289832348554322,0.654968117434301
7,benchmark_roll3,5184,0.535695961264248,0.7319125366218617
7,natural_resources_gbm,5184,1.0634102216756012,1.0312178342501652
7,natural_resources_rf,5184,1.0914322749595018,1.0447163610088155
