horizon,model,n,crps_det
1,benchmark_lag123,5184,0.2180108251607967
1,benchmark_roll3,5184,0.24972531576352136
1,grievance_gbm,5184,0.32764073852093695
1,grievance_rf,5184,0.36304670968206254
2,benchmark_lag123,5184,0.2336778458946719
2,benchmark_roll3,5184,0.2682225203894245
2,grievance_gbm,5184,0.3663335953310387
2,grievance_rf,5184,0.4019812460570473
3,benchmark_lag123,5184,0.24048135509306517
3,benchmark_roll3,5184,0.2732196061849515
3,grievance_gbm,5184,0.3917480381951114
3,grievance_rf,5184,0.4353024467360515
4,benchmark_lag123,5184,0.25505073835575875
4,benchmark_roll3,5184,0.28365585738781945
4,grievance_gbm,5184,0.40596357606423517
4,grievance_rf,5184,0.45456143191202053
5,benchmark_lag123,5184,0.25974330408884755
5,benchmark_roll3,5184,0.2895187743351072
5,grievance_gbm,5184,0.42382412545803494
5,grievance_rf,5184,0.47467193992029094
6,benchmark_lag123,5184,0.2618137987302746
6,benchmark_roll3,5184,0.29102817196806996
6,grievance_gbm,5184,0.42113114312096006
6,grievance_rf,5184,0.48668592704530783
7,benchmark_lag123,5184,0.2679078146324802
7,benchmark_roll3,5184,0.2950009438411951
7,grievance_gbm,5184,0.42439420693900326
7,grievance_rf,5184,0.4958391861399002
