horizon,model,feature,importance
1,grievance_rf,vdem_v2x_egaldem,0.31623627174520613
1,grievance_rf,vdem_v2x_frassoc_thick,0.28518376886877284
1,grievance_rf,vdem_v2x_egal,0.2649574578874315
1,grievance_rf,vdem_v2elvotbuy,0.24337702536049652
1,grievance_rf,vdem_v2x_freexp_altinf,0.21463853231523322
1,grievance_rf,vdem_v2elintim,0.19739142466153056
1,grievance_rf,vdem_v2elfrfair,0.19640515789601398
1,grievance_rf,vdem_v2x_cspart,0.1776765849984348
1,grievance_rf,vdem_v2xeg_eqprotec,0.17715889137021001
1,grievance_rf,vdem_v2xeg_eqdr,0.17660273938289647
1,grievance_rf,vdem_v2xeg_eqaccess,0.15700512996671895
1,grievance_rf,vdem_v2elirreg,0.1527888861573745
1,grievance_rf,fh_pr,0.10678688021345165
1,grievance_rf,fh_cl,0.08355650225459761
1,grievance_rf,vdem_v2x_suffr,0.07417177183749177
2,grievance_rf,vdem_v2x_egaldem,0.3841914505801959
2,grievance_rf,vdem_v2x_frassoc_thick,0.3748077961128998
2,grievance_rf,vdem_v2elvotbuy,0.34539992319960694
2,grievance_rf,vdem_v2x_egal,0.31387393697457394
2,grievance_rf,vdem_v2x_cspart,0.29504400162209454
2,grievance_rf,vdem_v2x_freexp_altinf,0.29363398355971765
2,grievance_rf,vdem_v2elfrfair,0.2905355854839093
2,grievance_rf,vdem_v2elintim,0.2443971291130267
2,grievance_rf,vdem_v2elirreg,0.23565388629472153
2,grievance_rf,vdem_v2xeg_eqprotec,0.22812976781489436
2,grievance_rf,vdem_v2xeg_eqaccess,0.205195252841475
2,grievance_rf,vdem_v2xeg_eqdr,0.19070662279087186
2,grievance_rf,fh_cl,0.1402682451345045
2,grievance_rf,fh_pr,0.13868446920130517
2,grievance_rf,vdem_v2x_suffr,0.08507998418503239
3,grievance_rf,vdem_v2x_egaldem,0.5519083195857294
3,grievance_rf,vdem_v2x_frassoc_thick,0.5156190672942021
3,grievance_rf,vdem_v2elvotbuy,0.4910485461670161
3,grievance_rf,vdem_v2x_freexp_altinf,0.42521355435292424
3,grievance_rf,vdem_v2x_egal,0.41613179253323695
3,grievance_rf,vdem_v2x_cspart,0.3869641210584616
3,grievance_rf,vdem_v2xeg_eqprotec,0.33318959179787194
3,grievance_rf,vdem_v2elintim,0.3105468268368413
3,grievance_rf,vdem_v2elfrfair,0.30419144274728216
3,grievance_rf,vdem_v2elirreg,0.29783689360998444
3,grievance_rf,vdem_v2xeg_eqaccess,0.2768966065226479
3,grievance_rf,vdem_v2xeg_eqdr,0.25135732473032846
3,grievance_rf,fh_cl,0.21246792822035654
3,grievance_rf,fh_pr,0.17277717150942298
3,grievance_rf,vdem_v2x_suffr,0.1214102215529682
4,grievance_rf,vdem_v2x_freexp_altinf,0.5895361924889383
4,grievance_rf,vdem_v2x_frassoc_thick,0.5382702924674883
4,grievance_rf,vdem_v2x_egaldem,0.5331610444306845
4,grievance_rf,vdem_v2elvotbuy,0.5154280909294816
4,grievance_rf,vdem_v2x_egal,0.4499454938626993
4,grievance_rf,vdem_v2x_cspart,0.38582090028838273
