horizon,model,feature,importance
1,rf_lag123_caret_cv,log_lag1,0.7035657561933477
1,rf_lag123_caret_cv,log_lag2,0.41600800537484406
1,rf_lag123_caret_cv,log_lag3,0.41365758176360934
2,rf_lag123_caret_cv,log_lag1,0.66634834408662
2,rf_lag123_caret_cv,log_lag2,0.45455690077762345
2,rf_lag123_caret_cv,log_lag3,0.4128832606814764
3,rf_lag123_caret_cv,log_lag1,0.6370980735584919
3,rf_lag123_caret_cv,log_lag2,0.4454542302013893
3,rf_lag123_caret_cv,log_lag3,0.41794703178659387
4,rf_lag123_caret_cv,log_lag1,0.6083151938782236
4,rf_lag123_caret_cv,log_lag3,0.49379206643513684
4,rf_lag123_caret_cv,log_lag2,0.39314318133723175
5,rf_lag123_caret_cv,log_lag1,0.549668395002916
5,rf_lag123_caret_cv,log_lag3,0.4901883525917281
5,rf_lag123_caret_cv,log_lag2,0.42596992612225176
6,rf_lag123_caret_cv,log_lag1,0.5315568641214462
6,rf_lag123_caret_cv,log_lag3,0.45594493484684623
6,rf_lag123_caret_cv,log_lag2,0.4247650284931145
7,rf_lag123_caret_cv,log_lag1,0.5661656773990731
7,rf_lag123_caret_cv,log_lag3,0.44559041071447936
7,rf_lag123_caret_cv,log_lag2,0.37512833327690315
