horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
1,rf_roll3_caret_cv,0.6566341371914912,0.7435954225676075,0.23730559631110018,1,variance,5,Fold1
1,rf_roll3_caret_cv,0.6481424635738867,0.7510117912954353,0.23617938926648702,1,variance,10,Fold1
1,rf_roll3_caret_cv,0.6362902778015319,0.7611720587100778,0.23304806084433688,1,variance,20,Fold1
1,rf_roll3_caret_cv,0.6637324058443668,0.8170172170485674,0.2658158374018074,1,variance,5,Fold10
1,rf_roll3_caret_cv,0.6597068643493893,0.8197330613122963,0.26498164555174625,1,variance,10,Fold10
1,rf_roll3_caret_cv,0.6555011734347649,0.8227413307265516,0.2649248679311191,1,variance,20,Fold10
1,rf_roll3_caret_cv,0.7169791236673451,0.7263061626868613,0.2583471849163032,1,variance,5,Fold2
1,rf_roll3_caret_cv,0.7043168091959293,0.7374155480880641,0.25529699267457157,1,variance,10,Fold2
1,rf_roll3_caret_cv,0.6899773298279871,0.7499161529320918,0.2512026644525756,1,variance,20,Fold2
1,rf_roll3_caret_cv,0.7567278776537891,0.7100269133580417,0.2690341326957596,1,variance,5,Fold3
1,rf_roll3_caret_cv,0.7341357788255407,0.7299349431408096,0.26569565390090893,1,variance,10,Fold3
1,rf_roll3_caret_cv,0.7106455157437168,0.7494937366550031,0.2616781639369251,1,variance,20,Fold3
1,rf_roll3_caret_cv,0.7478952587610374,0.7834877306483607,0.2666143655754405,1,variance,5,Fold4
1,rf_roll3_caret_cv,0.7260181641235941,0.7986001442241062,0.2639880148564531,1,variance,10,Fold4
1,rf_roll3_caret_cv,0.7024045043979247,0.8146734064201827,0.2604122897250809,1,variance,20,Fold4
1,rf_roll3_caret_cv,0.7760553016556583,0.7672327536785697,0.3029055785617087,1,variance,5,Fold5
1,rf_roll3_caret_cv,0.7626728929050014,0.7766459422467447,0.29954479417127444,1,variance,10,Fold5
1,rf_roll3_caret_cv,0.7497250400777371,0.7863088234464851,0.296122498161185,1,variance,20,Fold5
1,rf_roll3_caret_cv,0.7690322258225432,0.7503088526010688,0.31447651871623694,1,variance,5,Fold6
1,rf_roll3_caret_cv,0.7618568562497248,0.7563821030991986,0.314104890165495,1,variance,10,Fold6
1,rf_roll3_caret_cv,0.7546082985826651,0.7624609018652677,0.31231864217809685,1,variance,20,Fold6
1,rf_roll3_caret_cv,0.6325002533019187,0.8314723688635419,0.25876606709858063,1,variance,5,Fold7
1,rf_roll3_caret_cv,0.6276517600814792,0.8348788542761499,0.257573859081635,1,variance,10,Fold7
1,rf_roll3_caret_cv,0.6223308922796994,0.8401153399509935,0.2558748473914548,1,variance,20,Fold7
1,rf_roll3_caret_cv,0.632706309279689,0.8303945214900531,0.2540624248737134,1,variance,5,Fold8
1,rf_roll3_caret_cv,0.6227833990319573,0.8372835967386838,0.25186253919309926,1,variance,10,Fold8
1,rf_roll3_caret_cv,0.6125707400748108,0.8440487063925844,0.2501376444883808,1,variance,20,Fold8
1,rf_roll3_caret_cv,0.6071736122835344,0.849355569119951,0.2561560934421869,1,variance,5,Fold9
1,rf_roll3_caret_cv,0.6028357069329998,0.8530973250437873,0.25593579870729916,1,variance,10,Fold9
1,rf_roll3_caret_cv,0.5988504513991519,0.8571370813825188,0.25562194388920567,1,variance,20,Fold9
2,rf_roll3_caret_cv,0.7026107717750621,0.706400264727054,0.25263625539760026,1,variance,5,Fold1
2,rf_roll3_caret_cv,0.6957776576934854,0.7126866298441542,0.2510400973704839,1,variance,10,Fold1
2,rf_roll3_caret_cv,0.688595691311461,0.7193820483349617,0.24897634153253628,1,variance,20,Fold1
2,rf_roll3_caret_cv,0.7072165866334076,0.7909181362023842,0.2746912179249752,1,variance,5,Fold10
2,rf_roll3_caret_cv,0.704187012631507,0.7932271337348599,0.274593262550793,1,variance,10,Fold10
2,rf_roll3_caret_cv,0.6988979501818184,0.7973906842948845,0.2732956435780103,1,variance,20,Fold10
2,rf_roll3_caret_cv,0.7457642669987974,0.7020967657467225,0.271048533040949,1,variance,5,Fold2
2,rf_roll3_caret_cv,0.7364257512471905,0.7109782321576699,0.26914342226939825,1,variance,10,Fold2
2,rf_roll3_caret_cv,0.7211439807169558,0.7244438977334366,0.2649017406431742,1,variance,20,Fold2
2,rf_roll3_caret_cv,0.767399067597268,0.6977222927952833,0.27665870069346127,1,variance,5,Fold3
2,rf_roll3_caret_cv,0.7424917010674396,0.719853712456232,0.27195473775656986,1,variance,10,Fold3
2,rf_roll3_caret_cv,0.7193160542504202,0.7392848103730609,0.26781785842011113,1,variance,20,Fold3
2,rf_roll3_caret_cv,0.7630599443859412,0.7756344244996811,0.2768224433304306,1,variance,5,Fold4
2,rf_roll3_caret_cv,0.7446266642258196,0.7910394868695367,0.27477819727029457,1,variance,10,Fold4
2,rf_roll3_caret_cv,0.7279418108001479,0.80482323377104,0.2721839356580722,1,variance,20,Fold4
2,rf_roll3_caret_cv,0.762951157894352,0.7756229473725049,0.2906673530370309,1,variance,5,Fold5
2,rf_roll3_caret_cv,0.7569304219173999,0.7806094062150378,0.28988969775679857,1,variance,10,Fold5
