horizon,fold,train_month_min,train_month_max,valid_month_min,valid_month_max,train_rows,valid_rows
1,Fold1,4,251,252,263,48360,2340
1,Fold10,4,359,360,371,69420,2340
1,Fold2,4,263,264,275,50700,2340
1,Fold3,4,275,276,287,53040,2340
1,Fold4,4,287,288,299,55380,2340
1,Fold5,4,299,300,311,57720,2340
1,Fold6,4,311,312,323,60060,2340
1,Fold7,4,323,324,335,62400,2340
1,Fold8,4,335,336,347,64740,2340
1,Fold9,4,347,348,359,67080,2340
2,Fold1,4,250,251,262,48165,2340
2,Fold10,4,358,359,370,69225,2340
2,Fold2,4,262,263,274,50505,2340
2,Fold3,4,274,275,286,52845,2340
2,Fold4,4,286,287,298,55185,2340
2,Fold5,4,298,299,310,57525,2340
2,Fold6,4,310,311,322,59865,2340
2,Fold7,4,322,323,334,62205,2340
2,Fold8,4,334,335,346,64545,2340
2,Fold9,4,346,347,358,66885,2340
3,Fold1,4,249,250,261,47970,2340
3,Fold10,4,357,358,369,69030,2340
3,Fold2,4,261,262,273,50310,2340
3,Fold3,4,273,274,285,52650,2340
3,Fold4,4,285,286,297,54990,2340
3,Fold5,4,297,298,309,57330,2340
3,Fold6,4,309,310,321,59670,2340
3,Fold7,4,321,322,333,62010,2340
3,Fold8,4,333,334,345,64350,2340
3,Fold9,4,345,346,357,66690,2340
4,Fold1,4,248,249,260,47775,2340
4,Fold10,4,356,357,368,68835,2340
4,Fold2,4,260,261,272,50115,2340
4,Fold3,4,272,273,284,52455,2340
4,Fold4,4,284,285,296,54795,2340
4,Fold5,4,296,297,308,57135,2340
4,Fold6,4,308,309,320,59475,2340
4,Fold7,4,320,321,332,61815,2340
4,Fold8,4,332,333,344,64155,2340
4,Fold9,4,344,345,356,66495,2340
5,Fold1,4,247,248,259,47580,2340
5,Fold10,4,355,356,367,68640,2340
5,Fold2,4,259,260,271,49920,2340
5,Fold3,4,271,272,283,52260,2340
5,Fold4,4,283,284,295,54600,2340
5,Fold5,4,295,296,307,56940,2340
5,Fold6,4,307,308,319,59280,2340
5,Fold7,4,319,320,331,61620,2340
5,Fold8,4,331,332,343,63960,2340
5,Fold9,4,343,344,355,66300,2340
6,Fold1,4,246,247,258,47385,2340
6,Fold10,4,354,355,366,68445,2340
6,Fold2,4,258,259,270,49725,2340
6,Fold3,4,270,271,282,52065,2340
6,Fold4,4,282,283,294,54405,2340
6,Fold5,4,294,295,306,56745,2340
6,Fold6,4,306,307,318,59085,2340
6,Fold7,4,318,319,330,61425,2340
6,Fold8,4,330,331,342,63765,2340
6,Fold9,4,342,343,354,66105,2340
7,Fold1,4,245,246,257,47190,2340
7,Fold10,4,353,354,365,68250,2340
7,Fold2,4,257,258,269,49530,2340
7,Fold3,4,269,270,281,51870,2340
7,Fold4,4,281,282,293,54210,2340
7,Fold5,4,293,294,305,56550,2340
7,Fold6,4,305,306,317,58890,2340
7,Fold7,4,317,318,329,61230,2340
7,Fold8,4,329,330,341,63570,2340
7,Fold9,4,341,342,353,65910,2340
