horizon,model,n,crps_det
1,benchmark_lag123,5184,0.2180108251607967
1,benchmark_roll3,5184,0.24972531576352136
1,regime_rf10,5184,0.40856553268990586
1,regime_stack,5184,0.3633610745904495
2,benchmark_lag123,5184,0.2336778458946719
2,benchmark_roll3,5184,0.2682225203894245
2,regime_rf10,5184,0.4465762481704549
2,regime_stack,5184,0.3854709200536566
3,benchmark_lag123,5184,0.24048135509306517
3,benchmark_roll3,5184,0.2732196061849515
3,regime_rf10,5184,0.4789696541487504
3,regime_stack,5184,0.4194275337546326
4,benchmark_lag123,5184,0.25505073835575875
4,benchmark_roll3,5184,0.28365585738781945
4,regime_rf10,5184,0.48885491543588705
4,regime_stack,5184,0.42329847771980295
5,benchmark_lag123,5184,0.25974330408884755
5,benchmark_roll3,5184,0.2895187743351072
5,regime_rf10,5184,0.5108211807455146
5,regime_stack,5184,0.4372806687843126
6,benchmark_lag123,5184,0.2618137987302746
6,benchmark_roll3,5184,0.29102817196806996
6,regime_rf10,5184,0.5233501844907626
6,regime_stack,5184,0.4218599019773182
7,benchmark_lag123,5184,0.2679078146324802
7,benchmark_roll3,5184,0.2950009438411951
7,regime_rf10,5184,0.5184934081516899
7,regime_stack,5184,0.42924299373774405
