horizon,model,feature,importance
1,regime_stack,oof_rf,0.49659204994118833
1,regime_stack,oof_gbm,0.2618945653036811
1,regime_stack,oof_lm,0.06722322946147677
2,regime_stack,oof_rf,0.4105560565433652
2,regime_stack,oof_gbm,0.09043370228863927
2,regime_stack,oof_lm,0.03705793553535679
3,regime_stack,oof_rf,0.38393878045177626
3,regime_stack,oof_gbm,0.17069324887156823
3,regime_stack,oof_lm,0.004431734427899795
4,regime_stack,oof_rf,0.27188190520206057
4,regime_stack,oof_gbm,0.17775941547917143
4,regime_stack,oof_lm,0.017004530534764244
5,regime_stack,oof_gbm,0.23303133004016238
5,regime_stack,oof_rf,0.19303052845542173
5,regime_stack,oof_lm,0.0677087954937571
6,regime_stack,oof_gbm,0.2495530127864417
6,regime_stack,oof_lm,0.13154235168168935
6,regime_stack,oof_rf,0.03748892192580773
7,regime_stack,oof_gbm,0.1805581984100251
7,regime_stack,oof_rf,0.11315913695266927
7,regime_stack,oof_lm,0.10099413271669284
